variante,longitud,k,poda_activa,nodos_visitados,nodos_generados,soluciones,medicion,tiempo_us,tiempo_ms,porcentaje_reduccion
equipo_n8,8,8,True,48580033119061,48580033119060,9362522395200,cota_teorica_timeout,-1,-1.0,88.215
equipo_n8,8,8,False,412220218125681,412220218125680,9362522395200,cota_teorica_timeout,-1,-1.0,0.0
equipo_n6,6,8,True,1,0,0,empirica_enumerativa,0,0.0,0.0
equipo_n6,6,8,False,91828963717,91828963716,0,empirica_enumerativa,1241421280,1241421.28,0.0
equipo_n10,10,8,True,680706374452025441,680706374452025440,207096859600519200,cota_teorica_timeout,-1,-1.0,63.214
equipo_n10,10,8,False,1850456559166182077,1850456559166182076,207096859600519200,cota_teorica_timeout,-1,-1.0,0.0
relajada_n8,8,1,True,376741790569851,376741790569850,358778326970752,cota_teorica_timeout,-1,-1.0,8.607
relajada_n8,8,1,False,412220218125681,412220218125680,358778326970752,cota_teorica_timeout,-1,-1.0,0.0
sin_restricciones_n6,6,0,True,91828963717,91828963716,90458382169,empirica_enumerativa,760922883,760922.883,0.0
sin_restricciones_n6,6,0,False,91828963717,91828963716,90458382169,empirica_enumerativa,679341425,679341.425,0.0
calibracion_n4_1,4,4,True,5327841,5327840,811200,empirica_enumerativa,39398,39.398,0.0
calibracion_n4_1,4,4,False,20456441,20456440,811200,empirica_enumerativa,145199,145.199,0.0
calibracion_n4_2,4,4,True,7691668,7691667,2068560,empirica_enumerativa,62259,62.259,0.0
calibracion_n4_2,4,4,False,20456441,20456440,2068560,empirica_enumerativa,146795,146.795,0.0
calibracion_n4_3,4,3,True,8102981,8102980,1427400,empirica_enumerativa,62312,62.312,0.0
calibracion_n4_3,4,3,False,20456441,20456440,1427400,empirica_enumerativa,142231,142.231,0.0
calibracion_n4_4,4,3,True,13851045,13851044,3062280,empirica_enumerativa,108833,108.833,0.0
calibracion_n4_4,4,3,False,20456441,20456440,3062280,empirica_enumerativa,146171,146.171,0.0
calibracion_n4_5,4,0,True,19854915,19854914,19262232,empirica_enumerativa,160571,160.571,0.0
calibracion_n4_5,4,0,False,20456441,20456440,19262232,empirica_enumerativa,150968,150.968,0.0
